# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-12T21:08:15Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 eab7879e14401408aa6c70f4047db865441ca64fa933e1e751b571bfa7cac220
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 9ecb8ae2215e5755640d0ff4a5dd19bf23d7518a8401d0d7a77c6ad74939cdd4
# rules       = B0-B5, D31 (within-tier), D47 (summed rows), D48 (shared rows)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
accession	gene	tier
A0A1B0GWK0	PVALEF	1
A2IDD5	CCDC78	2
A2RUH7	MYBPHL	1
O00631	SLN	2
O75052	NOS1AP	1;2
O75628	REM1	1
O95393	BMP10	1
P05787	KRT8	1
P07996	THBS1	2
P08253	MMP2	1
P08727	KRT19	1
P0CAP1	MYZAP	1
P0CAP2	POLR2M	1
P0DMT0	MRLN	2
P0DN84	STRIT1	2
P0DP25	CALM3	1
P15172	MYOD1	1
P15382	KCNE1	1
P22460	KCNA5	1
P31431	SDC4	1
P32418	SLC8A1	1
P35498	SCN1A	1
P41145	OPRK1	2
P47989	XDH	2
P52961	ART1	2
P57103	SLC8A3	2
P68032	ACTC1	1
P68106	FKBP1B	1;2
Q01668	CACNA1D	1
Q06413	MEF2C	2
Q07343	PDE4B	1
Q08629	SPOCK1	2
Q13023	AKAP6	2
Q13936	CACNA1C	1
Q14331	FRG1	1
Q14524	SCN5A	1
Q14571	ITPR2	2
Q14573	ITPR3	2
Q14596	NBR1	1
Q15139	PRKD1	1
Q15842	KCNJ8	1
Q16527	CSRP2	1
Q16637	SMN1	1
Q2TBC4	PRICKLE4	1
Q2V2M9	FHOD3	1
Q5BKX8	CAVIN4	1
Q5BKY1	LRRC10	1
Q5JQC9	AKAP4	1
Q5JVS0	HABP4	1;2
Q5TD97	FHL5	1
Q5VVH2	FKBP1C	2
Q5VZP5	STYXL2	1
Q6P050	FBXL22	1
Q6UXF7	CLEC18B	2
Q711Q0	CEFIP	1
Q86SG2	ANKRD23	1
Q86VW2	ARHGEF25	1
Q8IVL5	P3H2	2
Q8NBH2	KY	1
Q8NC69	KCTD6	1
Q8NDZ2	SIMC1	1
Q8NEW0	SLC30A7	2
Q8NEZ5	FBXO22	1
Q8WU10	PYROXD1	1
Q8WXH2	JPH3	2
Q92831	KAT2B	1
Q92952	KCNN1	1
Q969P5	FBXO32	1
Q969Q1	TRIM63	1
Q96JJ6	JPH4	2
Q9C0I1	MTMR12	1;2
Q9H2S1	KCNN2	1
Q9NNX1	TUFT1	1
Q9NY72	SCN3B	1
Q9NZR1	TMOD2	1
Q9UGI6	KCNN3	1
Q9UL15	BAG5	2
Q9UQD0	SCN8A	1
Q9Y272	RASD1	2
Q9Y6A1	POMT1	2
Q9Y6F6	IRAG1	2
