# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:22:20Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# rows of the deep dataset (Table S5) none of whose accessions appear in a Table S2 protein group, with their share of the deep dataset's summed signal; reported, not used
row_index	identity_cell	gene	value	share_of_deep_signal
993	P68371;P04350;B4DJ43	TUBB4B;TUBB4A	9314402478	0.0007410296208
440	P04406;E7EUT4;E7EUT5	GAPDH	3405202942	0.0002709090842
493	Q93079;Q99879;Q99877;Q5QNW6;P58876;O60814;P62807;P57053;B4DR52;Q5QNW6-2;P33778;Q99880;Q16778;P23527;P06899;Q8N257;Q96A08	HIST1H2BH;HIST1H2BM;HIST1H2BN;HIST2H2BF;HIST1H2BD;HIST1H2BK;HIST1H2BC;H2BFS;HIST1H2BB;HIST1H2BL;HIST2H2BE;HIST1H2BO;HIST1H2BJ;HIST3H2BB;HIST1H2BA	3246302603	0.0002582673867
286	B1AKG0;Q03591	CFHR1	2447400250	0.0001947087946
462	P08238	HSP90AB1	1648902589	0.0001311823988
113	P06733;P06733-2	ENO1	1614797246	0.0001284690665
1038	C9JPQ9;C9JU00	FGG	1479598901	0.000117713038
495	P62805	HIST1H4A	1455398758	0.0001157877376
556	P01615		1427299126	0.000113552204
459	P11142;E9PKE3;P11142-2;E9PNE6;E9PN89	HSPA8	1394999333	0.0001109825165
494	P68431;P84243;Q71DI3;Q16695;Q6NXT2;Q5TEC6;B4DEB1	HIST1H3A;H3F3A;HIST2H3A;HIST3H3;H3F3C;HIST2H3PS2	1305599575	0.0001038701044
991	P68363;Q9BQE3;F5H5D3;Q71U36;G3V1U9;P68366;E9PGK3;A8MUB1;Q13748;F8VVB9;Q6PEY2;Q13748-2;F8VQQ4;F8VXZ4	TUBA1B;TUBA1C;TUBA1A;TUBA4A;TUBA3C;KLK9;TUBA3E	1286100775	0.0001023188306
979	P29401;E7EPA7;B3KSI4;B4E022	TKT	1172500401	9.328108052e-05
346	P68104;Q5VTE0;Q6IQ15;F8W6I0;Q05639	EEF1A1;EEF1A1P5;EEF1A2	960729220.6	7.643311653e-05
1012	P08670;B0YJC4;F5H288;B0YJC5	VIM	956171951.8	7.607055209e-05
154	P25705;A8K092	ATP5A1	935549993.3	7.442992274e-05
742	P62937;B4DM82;F8WE65;C9J5S7;Q567Q0	PPIA	840380564.7	6.685849067e-05
