# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T18:34:53Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# Hortin 2008 (clinchem.2008.108175-2.xls sha256 b754184b6b3255c9f92924f92fe3b03261846788e02d71f0144241c07fb8a505), value = mg/L; share_hortin over the joined set; share_geyer_joined = the pool's v renormalised over the joined set; reported, not used
accession	gene	hortin_value	share_hortin	w_pool	share_geyer_joined	ratio_geyer_over_hortin
P02768	ALB	43500	0.5845740975	0.2398429732	0.2798103453	0.4786567632
P01859	IGHG2	2840	0.0381652974	0.01527063157	0.01781532574	0.4667938403
P02787	TF	2800	0.037627758	0.0408448212	0.04765119183	1.26638403
P01023	A2M	2150	0.02889274275	0.07047693348	0.08222119178	2.845738547
P01009	SERPINA1	1450	0.01948580325	0.07153309225	0.08345334858	4.282776928
P02647	APOA1	1425	0.01914984112	0.08088481551	0.09436344062	4.927635692
P00738	HP	1350	0.01814195475	0.02676498469	0.03122509494	1.721153832
P01024	C3	1350	0.01814195475	0.03391540435	0.03956705872	2.180969982
P02671	FGA	1270	0.01706687595	0.03605263396	0.04206043573	2.464448435
P01871	IGHM	1013	0.0136131853	0.02146629035	0.02504342752	1.839644944
P02679	FGG	990	0.01330410015	0.03060462055	0.03570456674	2.683726546
P02675	FGB	970	0.01303533045	0.02233093972	0.02605216184	1.998580853
P04114	APOB	932.9	0.01253676266	0.01745769892	0.02036684543	1.624569755
P02765	AHSG	860	0.0115570971	0.004036797826	0.00470948879	0.4074975532
P02790	HPX	825	0.01108675012	0.007016604526	0.008185849722	0.7383452888
P02763	ORM1	595	0.007995898574	0.007794477348	0.009093347073	1.137251428
P02774	GC	550	0.007391166749	0.00464074375	0.005414076109	0.7325062866
P08603	CFH	530	0.007122397049	0.00208011813	0.002426748487	0.3407207531
P01011	SERPINA3	450	0.00604731825	0.0060664832	0.00707740042	1.17033702
P00450	CP	400	0.005375394	0.005894500369	0.006876758414	1.279303138
P02652	APOA2	385	0.005173816725	0.009183896892	0.01071429914	2.070869478
P04003	C4BPA	365	0.004905047025	0.0003348852344	0.0003906904248	0.07965069913
P00751	CFB	320	0.0043003152	0.004044054495	0.004717954709	1.097118348
P02766	TTR	300	0.0040315455	0.005562461259	0.00648938839	1.609652772
P06396	GSN	300	0.0040315455	0.002609257853	0.003044063919	0.7550612834
P02751	FN1	300	0.0040315455	0.004147028302	0.004838088045	1.200057905
P05155	SERPING1	280	0.0037627758	0.002330665778	0.002719047331	0.7226174175
P19652	ORM2	275	0.003695583375	0.0004208089802	0.0004909324818	0.1328430269
P27169	PON1	272	0.00365526792	0.001748332373	0.002039674036	0.5580094484
P01042	KNG1	260	0.0034940061	0.00343414954	0.004006415347	1.146653793
P00747	PLG	250	0.00335962125	0.001261905982	0.001472189675	0.4382010844
P01008	SERPINC1	235	0.003158043975	0.004503156073	0.005253560857	1.663548988
P02749	APOH	225	0.003023659125	0.001356862998	0.001582970303	0.5235280294
P04217	A1BG	225	0.003023659125	0.003182562925	0.003712904403	1.227950721
P02760	AMBP	210	0.00282208185	0.000346252565	0.0004039520044	0.1431397195
P19823	ITIH2	210	0.00282208185	0.005995798087	0.006994936358	2.47864404
P0C0L4	C4A	195	0.002620504575	0.000370673893	0.0004324428964	0.1650227596
