# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T18:34:53Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# entries present in more than one pool with their weight in each: plasma carry-over into the erythrocyte preparation and erythrocyte protein in plasma, at the shares each dataset measured
accession	gene	w_erythrocytes	w_plasma
P02647	APOA1	3.992948484e-06	0.08088481551
P01009	SERPINA1	2.344724709e-06	0.07153309225
P01023	A2M	1.877724903e-06	0.07047693348
P01857	IGHG1	1.187135318e-05	0.05172339215
P02787	TF	9.985537863e-07	0.0408448212
P02671	FGA	3.801210655e-07	0.03605263396
P32119	PRDX2	0.03459605098	5.474607641e-06
P01024	C3	4.302323909e-05	0.03391540435
P02679	FGG	0	0.03060462055
P00738	HP	0.0001448295915	0.02676498469
P01876	IGHA1	3.290771535e-07	0.02234482714
P02675	FGB	1.118982015e-06	0.02233093972
P01871	IGHM	0	0.02146629035
P04114	APOB	3.617154293e-05	0.01745769892
P01834	IGKC	3.529537517e-06	0.0162527554
P01859	IGHG2	4.152461885e-06	0.01527063157
P0C0L5	C4B	0	0.01023757271
P02763	ORM1	2.375367523e-07	0.007794477348
P02790	HPX	2.870946442e-07	0.007016604526
P60709	ACTB	0.006882960763	3.955177689e-05
P01619	IGKV3-20	0	0.006310862508
P01011	SERPINA3	0	0.0060664832
P69892	HBG2	0.005437438639	1.582045607e-06
P02774	GC	0	0.00464074375
P01008	SERPINC1	0	0.004503156073
P02765	AHSG	0	0.004036797826
P10909	CLU	7.556415463e-06	0.00379041707
P07195	LDHB	0.003759204946	4.957868451e-06
P19827	ITIH1	0	0.003574431669
P06396	GSN	1.130856287e-06	0.002609257853
Q06830	PRDX1	0.002576286636	8.238724857e-06
P02649	APOE	0	0.002031617753
P04004	VTN	5.971663018e-06	0.00194403464
P01031	C5	0	0.001601256845
P02749	APOH	1.113209011e-06	0.001356862998
P01766	IGHV3-13	0	0.0009359292048
P01602	IGKV1-5	0	0.000615485816
P15924	DSP	0.0004088463297	9.631080198e-07
P0C0L4	C4A	1.384046185e-06	0.000370673893
P02760	AMBP	6.295151429e-07	0.000346252565
P13796	LCP1	0.0002506780326	2.980032492e-06
Q96CV9	OPTN	0.000102813069	0.0001530946447
P11021	HSPA5	0.0001256132824	4.45826623e-06
P12955	PEPD	0.0001148946654	3.720642985e-06
Q9HDC9	APMAP	8.942669589e-05	7.520452962e-06
P43251	BTD	0	5.103322326e-05
P61769	B2M	3.497649685e-07	4.080026645e-05
P16070	CD44	3.582966812e-05	3.172758376e-06
Q01469	FABP5	2.581524538e-05	4.151375321e-06
P17066	HSPA6	2.302006662e-05	1.00028556e-06
P06702	S100A9	2.175836294e-05	1.614882764e-06
P81605	DCD	1.642408826e-05	5.483299896e-06
P61626	LYZ	0	1.296776105e-05
P05109	S100A8	1.261460617e-05	1.078268701e-06
Q9UNW1	MINPP1	3.810068219e-06	1.110657105e-05
P31944	CASP14	3.625208594e-06	8.850768861e-06
P01040	CSTA	7.223137497e-06	2.89044027e-06
P02786	TFRC	1.549217546e-06	4.606934093e-06
Q9UHG3	PCYOX1	0	3.356664993e-06
P31327	CPS1	1.044748218e-07	3.333957039e-06
Q99969	RARRES2	2.973513284e-06	2.477302262e-06
P04439	HLA-A	0	2.681464176e-06
