# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T05:33:10Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# source file 41467_2025_56896_MOESM12_ESM.xlsx sha256 6f98b206504ebd8a3846dfbab7e0a208cf74bcf17ce5010af308ac5e69d288ec
# per pool entry: mean and SD over participants of log2(slow) - log2(fast); slow_over_fast = 2^mean; quotients against the primary dataset's I/IIa and I/IIx
accession	gene	tier	primary_v_I	primary_v_IIa	primary_v_IIx	primary_I_over_IIa	primary_I_over_IIx	n_participants	log2_slow_minus_fast_mean	log2_slow_minus_fast_sd	slow_over_fast	primary_I_over_IIa_over_source	primary_I_over_IIx_over_source
P04217	A1BG	2	4.42072773	2.591461897	2.831737757	1.705881817	1.561135991	5	0.106472868	0.1385752478	1.076592939	1.584518861	1.450070807
P01023	A2M	2	3.527736664	5.179354191	10.80594969	0.681115161	0.3264624365	5	0.101166006	0.2013721545	1.072640035	0.6349895016	0.3043541411
Q9H7C9	AAMDC	2	89.86573029	349.3329773	251.3691406	0.2572494901	0.3575050225	5	-0.092528652	0.09231211409	0.9378774637	0.2742890197	0.3811852149
Q9BTE6	AARSD1	2	18.06702995	34.01065826	45.69384766	0.531216709	0.3953930535	5	-0.080458312	0.1058950245	0.9457571531	0.561684051	0.4180703812
O94911	ABCA8	2	2.11171174	1.331807733	2.637532711	1.585598048	0.8006390714	5	0.0646204272	0.1115368579	1.045809751	1.516143874	0.7655685658
Q9NRK6	ABCB10	2	60.55459213	3.569094419	62.65538025	16.96637438	0.9664707467	5	0.20509263	0.3666130891	1.152760359	14.71804114	0.8383969307
O75027	ABCB7	2	4.145605564	4.480739117	2.878845692	0.9252057431	1.44002354	5	0.334326032	0.1774434364	1.260788283	0.733831172	1.142161265
O60706	ABCC9	1	0.6835974455	1.222521782	2.902044296	0.5591699515	0.2355572058	5	-0.2388196778	0.1837875995	0.8474383495	0.6598355524	0.2779638258
P61221	ABCE1	2	5.556691647	5.296366215	6.882129192	1.049151705	0.8074087962	5	-0.18217492	0.07370638264	0.8813732891	1.190360224	0.9160804012
Q8NE71	ABCF1	2	3.871294737	32.09195328	10.24390125	0.1206313216	0.377912149	5	0.044213822	0.05424211126	1.03112113	0.1169904467	0.3665060661
Q9UG63	ABCF2	2	5.321066856	2.857666016	2.624042153	1.862032451	2.027813025	5	-0.582383852	0.1443648429	0.6678593209	2.788060888	3.036287675
Q9NUJ1	ABHD10	2	39.78771973	41.17279625	18.29772949	0.9663594254	2.174462123	5	0.382839518	0.08619963748	1.303905684	0.7411267835	1.667652922
Q8NFV4	ABHD11	2	29.29836273	32.69191647	21.07042027	0.8961959377	1.390497312	5	0.42399225	0.09042952551	1.341635018	0.6679878848	1.03641996
Q96IU4	ABHD14B	2	5.10126543	5.722696304	10.20036173	0.8914094265	0.5001063262	5	-0.346983346	0.08997894622	0.786226368	1.133782156	0.6360843983
O95870	ABHD16A	2	3.58015728	2.698799133	4.911957622	1.326574192	0.7288656694	5	0.199436516	0.1690577255	1.148249787	1.155301057	0.6347622944
O14639	ABLIM1	2	17.79881859	15.67510366	22.42173004	1.13548331	0.7938200378	5	0.38023215	0.1921417297	1.301551277	0.8724076647	0.6099030073
Q6H8Q1	ABLIM2	1	24.75664425	31.46193504	44.65435123	0.7868760842	0.5544060895	5	-0.230114836	0.08167311144	0.8525670262	0.9229492345	0.6502785969
Q8N0Z2	ABRA	1	6.316647828	14.21376133	3.534353256	0.444403679	1.787214624	5	-0.430073394	0.05791038369	0.7422240253	0.5987460172	2.407918046
P09110	ACAA1	2	33.53143883	10.61050701	12.90038395	3.160210798	2.59925898	5	0.413152592	0.08264788868	1.331592447	2.373256777	1.951992884
P42765	ACAA2	2	1225.627441	667.3039551	320.1690063	1.836685415	3.828063982	5	0.774451066	0.05501404577	1.710539081	1.073746537	2.237928396
O00763	ACACB	2	1.131783843	1.140007108	0.3024144173	0.9927866543	3.742493011	5	-0.123207896	0.07026775495	0.9181438459	1.08129751	4.07615106
Q9UKU7	ACAD8	2	59.67119217	52.53032684	31.77879715	1.135937957	1.877704555	5	0.290048856	0.1704897865	1.222681682	0.9290545312	1.535726414
Q9H845	ACAD9	2	6.4409163	4.953524113	3.044066429	1.300269496	2.115892163	5	0.149269176	0.1406739407	1.109007541	1.172462267	1.907915035
P11310	ACADM	2	1232.984253	1204.290161	828.3684692	1.02382656	1.48844904	5	0.479101224	0.1947834116	1.393875034	0.734518185	1.067849702
P16219	ACADS	2	823.506958	361.2221985	169.1685486	2.279779486	4.867967272	5	0.74804178	0.09935579196	1.679511623	1.357406197	2.898442145
P45954	ACADSB	2	78.18933868	48.9373455	16.98527002	1.597743766	4.603361535	5	0.540779124	0.1631956844	1.454757944	1.098288394	3.164348787
P49748	ACADVL	2	2449.543457	1566.918701	1648.40564	1.563286886	1.48600769	5	0.578190224	0.109455421	1.492975224	1.047094996	0.9953331216
Q9H3P7	ACBD3	2	13.58810139	10.59936333	6.85764122	1.281973357	1.981454111	5	0.430690646	0.6444536846	1.347878678	0.9511044117	1.470053754
P53396	ACLY	2	5.017132998	10.01442289	3.800049305	0.5009907262	1.320281027	5	-0.085325758	0.1260041594	0.9425716809	0.5315147233	1.400722145
P21399	ACO1	2	2.986865997	12.67481709	3.922110796	0.2356535781	0.7615455434	5	0.096875088	0.08896970889	1.069454488	0.2203493283	0.7120878466
Q99798	ACO2	2	3507.739502	3373.213135	1618.271729	1.039880779	2.16758375	5	0.284227082	0.1663477622	1.21775768	0.8539307909	1.779979536
Q9NPJ3	ACOT13	2	401.0104675	275.2368927	318.3320007	1.456964812	1.25972402	5	0.069038674	0.09988097163	1.049017448	1.388885203	1.200860884
P49753	ACOT2	2	611.998291	415.3770142	152.2825623	1.47335618	4.018833686	5	0.420455374	0.1127287424	1.338349927	1.100875153	3.002827292
Q9Y305	ACOT9	2	36.0515213	20.38694191	5.811044693	1.76836337	6.203965587	5	0.255751514	0.08647586626	1.193957525	1.481094036	5.196135923
P24666	ACP1	2	37.26242256	41.84580231	101.382761	0.8904697845	0.3675419982	5	-0.096830394	0.0532779407	0.9350851217	0.9522874055	0.3930572626
Q96CM8	ACSF2	2	66.87445831	79.51541901	41.69553757	0.8410250383	1.603875671	5	0.16266252	0.1288206063	1.119351016	0.751350583	1.432862122
Q4G176	ACSF3	2	4.286158204	3.705852151	5.158077002	1.156591798	0.8309604922	5	0.21069267	0.1505945418	1.157243669	0.9994367042	0.718051448
P33121	ACSL1	2	1480.746216	892.4458618	695.6939087	1.659200047	2.128444992	5	0.476170142	0.1866766163	1.391046013	1.192771505	1.530103945
O95573	ACSL3	2	16.70449638	11.50229931	13.3211937	1.452274535	1.253978943	5	-0.155717072	0.07741521667	0.8976860793	1.617797768	1.396901402
Q9NUB1	ACSS1	2	9.653203011	1.106663644	3.342137218	8.722797627	2.88833234	5	0.588082766	0.1594015235	1.503247715	5.80263488	1.921394798
Q9NR19	ACSS2	2	5.779424191	2.257190704	10.96530724	2.560450111	0.5270645014	5	0.03024811	0.191532582	1.021187731	2.507325571	0.516128901
P68133	ACTA1	1	100000	100000	100000	1	1	5	-0.155264214	0.07223423116	0.8979679047	1.113625548	1.113625548
Q562R1	ACTBL2	2	53.31747818	45.57096481	22.73823738	1.169987917	2.344837785	5	-0.15176217	0.0275407614	0.9001503084	1.2997695	2.604940268
P68032	ACTC1	1	0	0	0	nan	nan	5	0.38609572	0.6066229943	1.306851958	nan	nan
P63261	ACTG1	1	239.3656788	203.8949623	131.7593317	1.173965634	1.816688622	5	0.3643463074	0.3281530631	1.287298216	0.9119608961	1.411241467
P12814	ACTN1	1	100.260262	128.8742752	41.93201447	0.777969551	2.391019446	5	-0.121641164	0.152111405	0.9191414696	0.8464089334	2.601361733
P35609	ACTN2	1	15565.25488	12167.53613	8652.225586	1.279244599	1.798988564	5	0.114031776	0.1688986985	1.082248481	1.18202485	1.662269428
Q08043	ACTN3	1	74.28707123	2403.144287	8461.325195	0.03091244734	0.008779602428	5	-2.487052918	1.1907323	0.1783702705	0.1733049306	0.04922122058
O43707	ACTN4	1	25.52337551	46.17744446	55.28692245	0.5527238636	0.4616530344	5	0.154919466	0.05859990212	1.113359467	0.496446907	0.414648681
Q9NZ32	ACTR10	2	3.401714802	3.094502449	1.31255579	1.099276817	2.591672543	5	0.078171776	0.1007692669	1.055679406	1.041297965	2.454980678
P61163	ACTR1A	2	15.4555583	25.15054321	37.09412003	0.6145218483	0.416657904	5	-0.033539536	0.08213456119	0.9770203141	0.6289755079	0.4264577696
P42025	ACTR1B	2	4.928965092	5.872810841	6.639136076	0.8392855186	0.7424106142	5	-0.11190949	0.135662399	0.9253624805	0.9069802767	0.8022916747
P61160	ACTR2	2	48.48878479	7.628377438	10.81241035	6.356369383	4.484549069	5	-0.006165154	0.15383346	0.9957357587	6.383590554	4.503754164
P61158	ACTR3	2	3.674731731	7.993467808	26.04889107	0.4597168363	0.1410705631	5	-0.18432434	0.04913575653	0.8800611401	0.5223692029	0.1602963211
